"filename", "language", "TypeScript", "Properties", "Markdown", "JSON", "HTML", "XML", "JavaScript", "JSON with Comments", "TypeScript React", "vue", "CSS", "YAML", "comment", "blank", "total"
"/home/o/Documents/dev/validient/validient-ui-vue/src/constants/appName.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/o/Documents/dev/validient/validient-ui-vue/src/constants/stateKeys.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/home/o/Documents/dev/validient/validient-ui-vue/src/data/gender.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/home/o/Documents/dev/validient/validient-ui-vue/src/data/sidebarLinks.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 114
"/home/o/Documents/dev/validient/validient-ui-vue/src/layouts/AdminDashboardLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"/home/o/Documents/dev/validient/validient-ui-vue/src/layouts/AdminLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/o/Documents/dev/validient/validient-ui-vue/src/layouts/BaseLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"/home/o/Documents/dev/validient/validient-ui-vue/src/layouts/ClientDashboardLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"/home/o/Documents/dev/validient/validient-ui-vue/src/layouts/ClientLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"/home/o/Documents/dev/validient/validient-ui-vue/src/layouts/LawyerDashboardLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"/home/o/Documents/dev/validient/validient-ui-vue/src/layouts/LawyerLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/o/Documents/dev/validient/validient-ui-vue/src/main.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 53
"/home/o/Documents/dev/validient/validient-ui-vue/src/plugins/fontawesome.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 6, 5, 74
"/home/o/Documents/dev/validient/validient-ui-vue/src/plugins/piniaPlugin.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 3, 17
"/home/o/Documents/dev/validient/validient-ui-vue/src/router/admin.routes.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 0, 0, 18, 5, 264
"/home/o/Documents/dev/validient/validient-ui-vue/src/router/base.routes.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 85
"/home/o/Documents/dev/validient/validient-ui-vue/src/router/client.routes.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 15, 3, 127
"/home/o/Documents/dev/validient/validient-ui-vue/src/router/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/home/o/Documents/dev/validient/validient-ui-vue/src/router/lawyer.routes.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 12, 5, 85
"/home/o/Documents/dev/validient/validient-ui-vue/src/store/useAuthStore.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 1, 7, 161
"/home/o/Documents/dev/validient/validient-ui-vue/src/style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 3, 2, 42
"/home/o/Documents/dev/validient/validient-ui-vue/src/typings/index.d.ts", "TypeScript", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 195
"/home/o/Documents/dev/validient/validient-ui-vue/src/typings/shims-vue.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"/home/o/Documents/dev/validient/validient-ui-vue/src/typings/v-calendar.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/o/Documents/dev/validient/validient-ui-vue/src/utils/GlobalUserTypes.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
"/home/o/Documents/dev/validient/validient-ui-vue/src/utils/dateBefoeAfterUtil.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 3, 38
"/home/o/Documents/dev/validient/validient-ui-vue/src/utils/dateMonthYearRetrieve.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/o/Documents/dev/validient/validient-ui-vue/src/utils/debounce.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/home/o/Documents/dev/validient/validient-ui-vue/src/utils/formatScheduleTime.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"/home/o/Documents/dev/validient/validient-ui-vue/src/utils/getDateStamp.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 4, 67
"/home/o/Documents/dev/validient/validient-ui-vue/src/utils/getLawyerHourlyRate.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 3, 40
"/home/o/Documents/dev/validient/validient-ui-vue/src/utils/getYearsSince1960.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/home/o/Documents/dev/validient/validient-ui-vue/src/utils/roleFilter.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"/home/o/Documents/dev/validient/validient-ui-vue/src/views/AboutPage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/o/Documents/dev/validient/validient-ui-vue/src/views/ContactPage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"/home/o/Documents/dev/validient/validient-ui-vue/src/views/FAQs.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/o/Documents/dev/validient/validient-ui-vue/src/views/HomePage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 289, 0, 0, 6, 9, 304
"/home/o/Documents/dev/validient/validient-ui-vue/src/views/LoginPage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 3, 95
"/home/o/Documents/dev/validient/validient-ui-vue/src/views/Logout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/o/Documents/dev/validient/validient-ui-vue/src/views/RegisterPage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 7, 11, 207
"/home/o/Documents/dev/validient/validient-ui-vue/src/views/admin/BaseAdmin.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"/home/o/Documents/dev/validient/validient-ui-vue/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/o/Documents/dev/validient/validient-ui-vue/t.json", "JSON", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"/home/o/Documents/dev/validient/validient-ui-vue/tailwind.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 2, 31
"/home/o/Documents/dev/validient/validient-ui-vue/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 1, 24
"/home/o/Documents/dev/validient/validient-ui-vue/tsconfig.node.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/o/Documents/dev/validient/validient-ui-vue/vite.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"Total", "-", 448, 0, 56, 143, 14, 9, 34, 21, 855, 8171, 37, 1252, 535, 756, 12331
